city,precinct,office,district,party,candidate,votes
Shaw-Topeka,Ward 5 Precinct 91,U.S. Senate,,R,Pat Roberts,44
Shaw-Topeka,Ward 6 Precinct 1,U.S. Senate,,R,Pat Roberts,33
Shaw-Topeka,Ward 6 Precinct 2,U.S. Senate,,R,Pat Roberts,31
Shaw-Topeka,Ward 6 Precinct 3,U.S. Senate,,R,Pat Roberts,177
Shaw-Topeka,Ward 6 Precinct 4,U.S. Senate,,R,Pat Roberts,70
Shaw-Topeka,Ward 6 Precinct 5,U.S. Senate,,R,Pat Roberts,117
Shaw-Topeka,Ward 6 Precinct 6,U.S. Senate,,R,Pat Roberts,54
Shaw-Topeka,Ward 6 Precinct 7,U.S. Senate,,R,Pat Roberts,46
Shaw-Topeka,Ward 6 Precinct 8,U.S. Senate,,R,Pat Roberts,68
Shaw-Topeka,Ward 6 Precinct 9,U.S. Senate,,R,Pat Roberts,238
Shaw-Topeka,Ward 7 Precinct 1,U.S. Senate,,R,Pat Roberts,92
Shaw-Topeka,Ward 7 Precinct 2,U.S. Senate,,R,Pat Roberts,66
Shaw-Topeka,Ward 7 Precinct 3,U.S. Senate,,R,Pat Roberts,81
Shaw-Topeka,Ward 7 Precinct 4,U.S. Senate,,R,Pat Roberts,129
Shaw-Topeka,Ward 7 Precinct 5,U.S. Senate,,R,Pat Roberts,100
Shaw-Topeka,Ward 7 Precinct 6,U.S. Senate,,R,Pat Roberts,78
Shaw-Topeka,Ward 7 Precinct 7,U.S. Senate,,R,Pat Roberts,61
Shaw-Topeka,Ward 7 Precinct 9,U.S. Senate,,R,Pat Roberts,85
Shaw-Topeka,Ward 7 Precinct 10,U.S. Senate,,R,Pat Roberts,64
Shaw-Topeka,Ward 7 Precinct 11,U.S. Senate,,R,Pat Roberts,131
Shaw-Topeka,Ward 8 Precinct 1,U.S. Senate,,R,Pat Roberts,49
Shaw-Topeka,Ward 8 Precinct 2,U.S. Senate,,R,Pat Roberts,63
Shaw-Topeka,Ward 8 Precinct 3,U.S. Senate,,R,Pat Roberts,93
Shaw-Topeka,Ward 8 Precinct 4,U.S. Senate,,R,Pat Roberts,101
Shaw-Topeka,Ward 8 Precinct 5,U.S. Senate,,R,Pat Roberts,156
Shaw-Topeka,Ward 8 Precinct 6,U.S. Senate,,R,Pat Roberts,107
Shaw-Topeka,Ward 8 Precinct 7,U.S. Senate,,R,Pat Roberts,60
Shaw-Topeka,Ward 8 Precinct 8,U.S. Senate,,R,Pat Roberts,78
Shaw-Topeka,Ward 8 Precinct 9,U.S. Senate,,R,Pat Roberts,136
Shaw-Topeka,Ward 8 Precinct 10,U.S. Senate,,R,Pat Roberts,151
Shaw-Topeka,Ward 8 Precinct 11,U.S. Senate,,R,Pat Roberts,134
Shaw-Topeka,Ward 9 Precinct 1,U.S. Senate,,R,Pat Roberts,18
Shaw-Topeka,Ward 9 Precinct 2,U.S. Senate,,R,Pat Roberts,72
Shaw-Topeka,Ward 9 Precinct 3,U.S. Senate,,R,Pat Roberts,167
Shaw-Topeka,Ward 9 Precinct 4,U.S. Senate,,R,Pat Roberts,127
Shaw-Topeka,Ward 9 Precinct 5,U.S. Senate,,R,Pat Roberts,92
Shaw-Topeka,Ward 9 Precinct 6,U.S. Senate,,R,Pat Roberts,115
Shaw-Topeka,Ward 9 Precinct 8,U.S. Senate,,R,Pat Roberts,139
Shaw-Topeka,Ward 9 Precinct 9,U.S. Senate,,R,Pat Roberts,105
Shaw-Topeka,Ward 9 Precinct 10,U.S. Senate,,R,Pat Roberts,189
Shaw-Topeka,Ward 9 Precinct 11,U.S. Senate,,R,Pat Roberts,122
Shaw-Topeka,Ward 9 Precinct 12,U.S. Senate,,R,Pat Roberts,45
Shaw-Topeka,Ward 10 Precinct 1,U.S. Senate,,R,Pat Roberts,106
Shaw-Topeka,Ward 10 Precinct 2,U.S. Senate,,R,Pat Roberts,185
Shaw-Topeka,Ward 10 Precinct 3,U.S. Senate,,R,Pat Roberts,221
Shaw-Topeka,Ward 10 Precinct 4,U.S. Senate,,R,Pat Roberts,127
Shaw-Topeka,Ward 10 Precinct 5,U.S. Senate,,R,Pat Roberts,103
Shaw-Topeka,Ward 10 Precinct 6,U.S. Senate,,R,Pat Roberts,125
Shaw-Topeka,Ward 10 Precinct 7,U.S. Senate,,R,Pat Roberts,120
Shaw-Topeka,Ward 10 Precinct 8,U.S. Senate,,R,Pat Roberts,88
Shaw-Topeka,Ward 10 Precinct 9,U.S. Senate,,R,Pat Roberts,78
Shaw-Topeka,Ward 10 Precinct 10,U.S. Senate,,R,Pat Roberts,115
Shaw-Topeka,Ward 10 Precinct 11,U.S. Senate,,R,Pat Roberts,167
Shaw-Topeka,Ward 10 Precinct 14,U.S. Senate,,R,Pat Roberts,120
Shaw-Topeka,Ward 11 Precinct 1,U.S. Senate,,R,Pat Roberts,94
Shaw-Topeka,Ward 11 Precinct 2,U.S. Senate,,R,Pat Roberts,115
Shaw-Topeka,Ward 11 Precinct 3,U.S. Senate,,R,Pat Roberts,71
Shaw-Topeka,Ward 11 Precinct 4,U.S. Senate,,R,Pat Roberts,163
Shaw-Topeka,Ward 11 Precinct 5,U.S. Senate,,R,Pat Roberts,113
Shaw-Topeka,Ward 11 Precinct 6,U.S. Senate,,R,Pat Roberts,113
Shaw-Topeka,Ward 11 Precinct 7,U.S. Senate,,R,Pat Roberts,117
Shaw-Topeka,Ward 11 Precinct 8,U.S. Senate,,R,Pat Roberts,112
Shaw-Topeka,Ward 11 Precinct 9,U.S. Senate,,R,Pat Roberts,114
Shaw-Topeka,Ward 11 Precinct 10,U.S. Senate,,R,Pat Roberts,72
Shaw-Topeka,Ward 12 Precinct 1,U.S. Senate,,R,Pat Roberts,92
Shaw-Topeka,Ward 12 Precinct 2,U.S. Senate,,R,Pat Roberts,71
Shaw-Topeka,Ward 12 Precinct 3,U.S. Senate,,R,Pat Roberts,155
Shaw-Topeka,Ward 12 Precinct 4,U.S. Senate,,R,Pat Roberts,214
Shaw-Topeka,Ward 12 Precinct 5,U.S. Senate,,R,Pat Roberts,180
Shaw-Topeka,Ward 12 Precinct 6,U.S. Senate,,R,Pat Roberts,162
Shaw-Topeka,Ward 12 Precinct 7,U.S. Senate,,R,Pat Roberts,163
Shaw-Topeka,Ward 12 Precinct 8,U.S. Senate,,R,Pat Roberts,165
Shaw-Topeka,Ward 12 Precinct 9,U.S. Senate,,R,Pat Roberts,261
Shaw-Topeka,Ward 12 Precinct 11,U.S. Senate,,R,Pat Roberts,304
Shaw-Topeka,Ward 12 Precinct 13,U.S. Senate,,R,Pat Roberts,236
Shaw-Topeka,Ward 12 Precinct 14,U.S. Senate,,R,Pat Roberts,156
Shaw-Topeka,Ward 12 Precinct 15,U.S. Senate,,R,Pat Roberts,268
Shaw-Topeka,Ward 12 Precinct 16,U.S. Senate,,R,Pat Roberts,260
Shaw-Topeka,Ward 12 Precinct 19,U.S. Senate,,R,Pat Roberts,48
Shaw-Topeka,Ward 12 Precinct 20,U.S. Senate,,R,Pat Roberts,207
Shaw-Topeka,Ward 12 Precinct 31,U.S. Senate,,R,Pat Roberts,136
Shaw-Topeka,Ward 13 Precinct 2,U.S. Senate,,R,Pat Roberts,39
Shaw-Topeka,Ward 13 Precinct 5,U.S. Senate,,R,Pat Roberts,12
Shaw-Topeka,Ward 13 Precinct 6,U.S. Senate,,R,Pat Roberts,75
Shaw-Topeka,Ward 13 Precinct 9,U.S. Senate,,R,Pat Roberts,49
Shaw-Topeka,Ward 13 Precinct 12,U.S. Senate,,R,Pat Roberts,286
Shaw-Topeka,Ward 13 Precinct 21,U.S. Senate,,R,Pat Roberts,24
Shaw-Topeka,Ward 13 Precinct 22,U.S. Senate,,R,Pat Roberts,30
Shaw-Topeka,Ward 13 Precinct 30,U.S. Senate,,R,Pat Roberts,49
Shaw-Topeka,Ward 14 Precinct 1,U.S. Senate,,R,Pat Roberts,249
Shaw-Topeka,Ward 14 Precinct 2,U.S. Senate,,R,Pat Roberts,201
Shaw-Topeka,Ward 14 Precinct 3,U.S. Senate,,R,Pat Roberts,159
Shaw-Topeka,Ward 14 Precinct 4,U.S. Senate,,R,Pat Roberts,357
Shaw-Topeka,Ward 14 Precinct 5,U.S. Senate,,R,Pat Roberts,224
Shaw-Topeka,Ward 15 Precinct 1,U.S. Senate,,R,Pat Roberts,168
Shaw-Topeka,Ward 15 Precinct 2,U.S. Senate,,R,Pat Roberts,118
Shaw-Topeka,Ward 15 Precinct 3,U.S. Senate,,R,Pat Roberts,13
Shaw-Topeka,Ward 1 Precinct 1,U.S. Senate,,I,Greg Orman,107
Shaw-Topeka,Ward 1 Precinct 2,U.S. Senate,,I,Greg Orman,139
Shaw-Topeka,Ward 1 Precinct 3,U.S. Senate,,I,Greg Orman,112
Shaw-Topeka,Ward 1 Precinct 4,U.S. Senate,,I,Greg Orman,145
Shaw-Topeka,Ward 1 Precinct 5,U.S. Senate,,I,Greg Orman,187
Shaw-Topeka,Ward 1 Precinct 6,U.S. Senate,,I,Greg Orman,230
Shaw-Topeka,Ward 2 Precinct 1,U.S. Senate,,I,Greg Orman,144
Shaw-Topeka,Ward 2 Precinct 2,U.S. Senate,,I,Greg Orman,127
Shaw-Topeka,Ward 2 Precinct 3,U.S. Senate,,I,Greg Orman,126
Shaw-Topeka,Ward 2 Precinct 4,U.S. Senate,,I,Greg Orman,118
Shaw-Topeka,Ward 2 Precinct 5,U.S. Senate,,I,Greg Orman,137
Shaw-Topeka,Ward 2 Precinct 6,U.S. Senate,,I,Greg Orman,96
Shaw-Topeka,Ward 2 Precinct 7,U.S. Senate,,I,Greg Orman,60
Shaw-Topeka,Ward 2 Precinct 8,U.S. Senate,,I,Greg Orman,81
Shaw-Topeka,Ward 2 Precinct 9,U.S. Senate,,I,Greg Orman,152
Shaw-Topeka,Ward 2 Precinct 10,U.S. Senate,,I,Greg Orman,198
Shaw-Topeka,Ward 2 Precinct 11,U.S. Senate,,I,Greg Orman,95
Shaw-Topeka,Ward 3 Precinct 1,U.S. Senate,,I,Greg Orman,139
Shaw-Topeka,Ward 3 Precinct 2,U.S. Senate,,I,Greg Orman,175
Shaw-Topeka,Ward 3 Precinct 3,U.S. Senate,,I,Greg Orman,98
Shaw-Topeka,Ward 3 Precinct 4,U.S. Senate,,I,Greg Orman,116
Shaw-Topeka,Ward 3 Precinct 5,U.S. Senate,,I,Greg Orman,78
Shaw-Topeka,Ward 3 Precinct 6,U.S. Senate,,I,Greg Orman,88
Shaw-Topeka,Ward 3 Precinct 7,U.S. Senate,,I,Greg Orman,105
Shaw-Topeka,Ward 3 Precinct 8,U.S. Senate,,I,Greg Orman,124
Shaw-Topeka,Ward 3 Precinct 9,U.S. Senate,,I,Greg Orman,120
Shaw-Topeka,Ward 3 Precinct 10,U.S. Senate,,I,Greg Orman,8
Shaw-Topeka,Ward 4 Precinct 1,U.S. Senate,,I,Greg Orman,118
Shaw-Topeka,Ward 4 Precinct 2,U.S. Senate,,I,Greg Orman,119
Shaw-Topeka,Ward 4 Precinct 3,U.S. Senate,,I,Greg Orman,100
Shaw-Topeka,Ward 4 Precinct 4,U.S. Senate,,I,Greg Orman,174
Shaw-Topeka,Ward 4 Precinct 6,U.S. Senate,,I,Greg Orman,154
Shaw-Topeka,Ward 4 Precinct 7,U.S. Senate,,I,Greg Orman,89
Shaw-Topeka,Ward 4 Precinct 8,U.S. Senate,,I,Greg Orman,105
Shaw-Topeka,Ward 4 Precinct 9,U.S. Senate,,I,Greg Orman,142
Shaw-Topeka,Ward 4 Precinct 10,U.S. Senate,,I,Greg Orman,167
Shaw-Topeka,Ward 4 Precinct 11,U.S. Senate,,I,Greg Orman,55
Shaw-Topeka,Ward 4 Precinct 12,U.S. Senate,,I,Greg Orman,14
Shaw-Topeka,Ward 4 Precinct 15,U.S. Senate,,I,Greg Orman,86
Shaw-Topeka,Ward 5 Precinct 1,U.S. Senate,,I,Greg Orman,117
Shaw-Topeka,Ward 5 Precinct 2,U.S. Senate,,I,Greg Orman,109
Shaw-Topeka,Ward 5 Precinct 3,U.S. Senate,,I,Greg Orman,107
Shaw-Topeka,Ward 5 Precinct 4,U.S. Senate,,I,Greg Orman,141
Shaw-Topeka,Ward 5 Precinct 5,U.S. Senate,,I,Greg Orman,135
Shaw-Topeka,Ward 5 Precinct 6,U.S. Senate,,I,Greg Orman,102
Shaw-Topeka,Ward 5 Precinct 7,U.S. Senate,,I,Greg Orman,153
Shaw-Topeka,Ward 5 Precinct 8,U.S. Senate,,I,Greg Orman,104
Shaw-Topeka,Ward 5 Precinct 9,U.S. Senate,,I,Greg Orman,207
Shaw-Topeka,Ward 5 Precinct 10,U.S. Senate,,I,Greg Orman,235
Shaw-Topeka,Ward 5 Precinct 11,U.S. Senate,,I,Greg Orman,191
Shaw-Topeka,Ward 5 Precinct 14,U.S. Senate,,I,Greg Orman,105
Shaw-Topeka,Ward 5 Precinct 15,U.S. Senate,,I,Greg Orman,25
Shaw-Topeka,Ward 5 Precinct 91,U.S. Senate,,I,Greg Orman,45
Shaw-Topeka,Ward 6 Precinct 1,U.S. Senate,,I,Greg Orman,108
Shaw-Topeka,Ward 6 Precinct 2,U.S. Senate,,I,Greg Orman,109
Shaw-Topeka,Ward 6 Precinct 3,U.S. Senate,,I,Greg Orman,177
Shaw-Topeka,Ward 6 Precinct 4,U.S. Senate,,I,Greg Orman,144
Shaw-Topeka,Ward 6 Precinct 5,U.S. Senate,,I,Greg Orman,197
Shaw-Topeka,Ward 6 Precinct 6,U.S. Senate,,I,Greg Orman,91
Shaw-Topeka,Ward 6 Precinct 7,U.S. Senate,,I,Greg Orman,68
Shaw-Topeka,Ward 6 Precinct 8,U.S. Senate,,I,Greg Orman,157
Shaw-Topeka,Ward 6 Precinct 9,U.S. Senate,,I,Greg Orman,331
Shaw-Topeka,Ward 7 Precinct 1,U.S. Senate,,I,Greg Orman,210
Shaw-Topeka,Ward 7 Precinct 2,U.S. Senate,,I,Greg Orman,168
Shaw-Topeka,Ward 7 Precinct 3,U.S. Senate,,I,Greg Orman,167
Shaw-Topeka,Ward 7 Precinct 4,U.S. Senate,,I,Greg Orman,162
Shaw-Topeka,Ward 7 Precinct 5,U.S. Senate,,I,Greg Orman,132
Shaw-Topeka,Ward 7 Precinct 6,U.S. Senate,,I,Greg Orman,114
Shaw-Topeka,Ward 7 Precinct 7,U.S. Senate,,I,Greg Orman,126
Shaw-Topeka,Ward 7 Precinct 9,U.S. Senate,,I,Greg Orman,123
Shaw-Topeka,Ward 7 Precinct 10,U.S. Senate,,I,Greg Orman,152
Shaw-Topeka,Ward 7 Precinct 11,U.S. Senate,,I,Greg Orman,215
Shaw-Topeka,Ward 8 Precinct 1,U.S. Senate,,I,Greg Orman,138
Shaw-Topeka,Ward 8 Precinct 2,U.S. Senate,,I,Greg Orman,166
Shaw-Topeka,Ward 8 Precinct 3,U.S. Senate,,I,Greg Orman,239
Shaw-Topeka,Ward 8 Precinct 4,U.S. Senate,,I,Greg Orman,207
Shaw-Topeka,Ward 8 Precinct 5,U.S. Senate,,I,Greg Orman,259
Shaw-Topeka,Ward 8 Precinct 6,U.S. Senate,,I,Greg Orman,148
Shaw-Topeka,Ward 8 Precinct 7,U.S. Senate,,I,Greg Orman,149
Shaw-Topeka,Ward 8 Precinct 8,U.S. Senate,,I,Greg Orman,167
Shaw-Topeka,Ward 8 Precinct 9,U.S. Senate,,I,Greg Orman,203
Shaw-Topeka,Ward 8 Precinct 10,U.S. Senate,,I,Greg Orman,118
Shaw-Topeka,Ward 8 Precinct 11,U.S. Senate,,I,Greg Orman,205
Shaw-Topeka,Ward 9 Precinct 1,U.S. Senate,,I,Greg Orman,39
Shaw-Topeka,Ward 9 Precinct 2,U.S. Senate,,I,Greg Orman,133
Shaw-Topeka,Ward 9 Precinct 3,U.S. Senate,,I,Greg Orman,241
Shaw-Topeka,Ward 9 Precinct 4,U.S. Senate,,I,Greg Orman,214
Shaw-Topeka,Ward 9 Precinct 5,U.S. Senate,,I,Greg Orman,163
Shaw-Topeka,Ward 9 Precinct 6,U.S. Senate,,I,Greg Orman,184
Shaw-Topeka,Ward 9 Precinct 8,U.S. Senate,,I,Greg Orman,213
Shaw-Topeka,Ward 9 Precinct 9,U.S. Senate,,I,Greg Orman,166
Shaw-Topeka,Ward 9 Precinct 10,U.S. Senate,,I,Greg Orman,300
Shaw-Topeka,Ward 9 Precinct 11,U.S. Senate,,I,Greg Orman,173
Shaw-Topeka,Ward 9 Precinct 12,U.S. Senate,,I,Greg Orman,94
Shaw-Topeka,Ward 10 Precinct 1,U.S. Senate,,I,Greg Orman,197
Shaw-Topeka,Ward 10 Precinct 2,U.S. Senate,,I,Greg Orman,163
Shaw-Topeka,Ward 10 Precinct 3,U.S. Senate,,I,Greg Orman,261
Shaw-Topeka,Ward 10 Precinct 4,U.S. Senate,,I,Greg Orman,162
Shaw-Topeka,Ward 10 Precinct 5,U.S. Senate,,I,Greg Orman,152
Shaw-Topeka,Ward 10 Precinct 6,U.S. Senate,,I,Greg Orman,135
Shaw-Topeka,Ward 10 Precinct 7,U.S. Senate,,I,Greg Orman,162
Shaw-Topeka,Ward 10 Precinct 8,U.S. Senate,,I,Greg Orman,155
Shaw-Topeka,Ward 10 Precinct 9,U.S. Senate,,I,Greg Orman,123
Shaw-Topeka,Ward 10 Precinct 10,U.S. Senate,,I,Greg Orman,169
Shaw-Topeka,Ward 10 Precinct 11,U.S. Senate,,I,Greg Orman,225
Shaw-Topeka,Ward 10 Precinct 14,U.S. Senate,,I,Greg Orman,178
Shaw-Topeka,Ward 11 Precinct 1,U.S. Senate,,I,Greg Orman,108
Shaw-Topeka,Ward 11 Precinct 2,U.S. Senate,,I,Greg Orman,170
Shaw-Topeka,Ward 11 Precinct 3,U.S. Senate,,I,Greg Orman,134
Shaw-Topeka,Ward 11 Precinct 4,U.S. Senate,,I,Greg Orman,233
Shaw-Topeka,Ward 11 Precinct 5,U.S. Senate,,I,Greg Orman,167
Shaw-Topeka,Ward 11 Precinct 6,U.S. Senate,,I,Greg Orman,153
Shaw-Topeka,Ward 11 Precinct 7,U.S. Senate,,I,Greg Orman,145
Shaw-Topeka,Ward 11 Precinct 8,U.S. Senate,,I,Greg Orman,142
Shaw-Topeka,Ward 11 Precinct 9,U.S. Senate,,I,Greg Orman,170
Shaw-Topeka,Ward 11 Precinct 10,U.S. Senate,,I,Greg Orman,114
Shaw-Topeka,Ward 12 Precinct 1,U.S. Senate,,I,Greg Orman,166
Shaw-Topeka,Ward 12 Precinct 2,U.S. Senate,,I,Greg Orman,119
Shaw-Topeka,Ward 12 Precinct 3,U.S. Senate,,I,Greg Orman,171
Shaw-Topeka,Ward 12 Precinct 4,U.S. Senate,,I,Greg Orman,211
Shaw-Topeka,Ward 12 Precinct 5,U.S. Senate,,I,Greg Orman,207
Shaw-Topeka,Ward 12 Precinct 6,U.S. Senate,,I,Greg Orman,257
Shaw-Topeka,Ward 12 Precinct 7,U.S. Senate,,I,Greg Orman,209
Shaw-Topeka,Ward 12 Precinct 8,U.S. Senate,,I,Greg Orman,214
Shaw-Topeka,Ward 12 Precinct 9,U.S. Senate,,I,Greg Orman,306
Shaw-Topeka,Ward 12 Precinct 11,U.S. Senate,,I,Greg Orman,294
Shaw-Topeka,Ward 12 Precinct 13,U.S. Senate,,I,Greg Orman,186
Shaw-Topeka,Ward 12 Precinct 14,U.S. Senate,,I,Greg Orman,162
Shaw-Topeka,Ward 12 Precinct 15,U.S. Senate,,I,Greg Orman,271
Shaw-Topeka,Ward 12 Precinct 16,U.S. Senate,,I,Greg Orman,312
Shaw-Topeka,Ward 12 Precinct 19,U.S. Senate,,I,Greg Orman,26
Shaw-Topeka,Ward 12 Precinct 20,U.S. Senate,,I,Greg Orman,216
Shaw-Topeka,Ward 12 Precinct 31,U.S. Senate,,I,Greg Orman,131
Shaw-Topeka,Ward 13 Precinct 2,U.S. Senate,,I,Greg Orman,67
Shaw-Topeka,Ward 13 Precinct 5,U.S. Senate,,I,Greg Orman,2
Shaw-Topeka,Ward 13 Precinct 6,U.S. Senate,,I,Greg Orman,34
Shaw-Topeka,Ward 13 Precinct 9,U.S. Senate,,I,Greg Orman,35
Shaw-Topeka,Ward 13 Precinct 12,U.S. Senate,,I,Greg Orman,231
Shaw-Topeka,Ward 13 Precinct 21,U.S. Senate,,I,Greg Orman,43
Shaw-Topeka,Ward 13 Precinct 22,U.S. Senate,,I,Greg Orman,33
Shaw-Topeka,Ward 13 Precinct 30,U.S. Senate,,I,Greg Orman,65
Shaw-Topeka,Ward 14 Precinct 1,U.S. Senate,,I,Greg Orman,276
Shaw-Topeka,Ward 14 Precinct 2,U.S. Senate,,I,Greg Orman,252
Shaw-Topeka,Ward 14 Precinct 3,U.S. Senate,,I,Greg Orman,137
Shaw-Topeka,Ward 14 Precinct 4,U.S. Senate,,I,Greg Orman,247
Shaw-Topeka,Ward 14 Precinct 5,U.S. Senate,,I,Greg Orman,123
Shaw-Topeka,Ward 15 Precinct 1,U.S. Senate,,I,Greg Orman,222
Shaw-Topeka,Ward 15 Precinct 2,U.S. Senate,,I,Greg Orman,172
Shaw-Topeka,Ward 15 Precinct 3,U.S. Senate,,I,Greg Orman,15
Shaw-Topeka,Ward 1 Precinct 1,U.S. Senate,,L,Randall Batson,16
Shaw-Topeka,Ward 1 Precinct 2,U.S. Senate,,L,Randall Batson,14
Shaw-Topeka,Ward 1 Precinct 3,U.S. Senate,,L,Randall Batson,6
Shaw-Topeka,Ward 1 Precinct 4,U.S. Senate,,L,Randall Batson,10
Shaw-Topeka,Ward 1 Precinct 5,U.S. Senate,,L,Randall Batson,18
Shaw-Topeka,Ward 1 Precinct 6,U.S. Senate,,L,Randall Batson,16
Shaw-Topeka,Ward 2 Precinct 1,U.S. Senate,,L,Randall Batson,13
Shaw-Topeka,Ward 2 Precinct 2,U.S. Senate,,L,Randall Batson,8
Shaw-Topeka,Ward 2 Precinct 3,U.S. Senate,,L,Randall Batson,12
Shaw-Topeka,Ward 2 Precinct 4,U.S. Senate,,L,Randall Batson,18
Shaw-Topeka,Ward 2 Precinct 5,U.S. Senate,,L,Randall Batson,8
Shaw-Topeka,Ward 2 Precinct 6,U.S. Senate,,L,Randall Batson,9
Shaw-Topeka,Ward 2 Precinct 7,U.S. Senate,,L,Randall Batson,13
Shaw-Topeka,Ward 2 Precinct 8,U.S. Senate,,L,Randall Batson,6
Shaw-Topeka,Ward 2 Precinct 9,U.S. Senate,,L,Randall Batson,13
Shaw-Topeka,Ward 2 Precinct 10,U.S. Senate,,L,Randall Batson,18
Shaw-Topeka,Ward 2 Precinct 11,U.S. Senate,,L,Randall Batson,6
Shaw-Topeka,Ward 3 Precinct 1,U.S. Senate,,L,Randall Batson,6
Shaw-Topeka,Ward 3 Precinct 2,U.S. Senate,,L,Randall Batson,5
Shaw-Topeka,Ward 3 Precinct 3,U.S. Senate,,L,Randall Batson,13
Shaw-Topeka,Ward 3 Precinct 4,U.S. Senate,,L,Randall Batson,8
Shaw-Topeka,Ward 3 Precinct 5,U.S. Senate,,L,Randall Batson,7
Shaw-Topeka,Ward 3 Precinct 6,U.S. Senate,,L,Randall Batson,6
